run	track	layer	rank	expert	delta_W	A_W	A_S	B_W	B_S	A_tokens	B_tokens
baseline	prefill	0	1	13	0.019657710667332833	0.03281623483035957	0.16770186335403728	0.01315852416302674	0.06832298136645963	161	161
baseline	prefill	0	2	174	0.018915449533624513	0.028789143946130743	0.16770186335403728	0.009873694412506228	0.055900621118012424	161	161
baseline	prefill	0	3	89	0.014498178427416181	0.016640283033208424	0.16149068322981366	0.0021421046057922438	0.031055900621118012	161	161
baseline	prefill	0	4	73	0.011938738041329649	0.01981892354451472	0.19254658385093168	0.007880185503185071	0.08074534161490683	161	161
baseline	prefill	0	5	131	0.010662577562123358	0.01359478339907846	0.13664596273291926	0.0029322058369551027	0.037267080745341616	161	161
baseline	prefill	0	6	231	0.009771103658754119	0.01217005721635055	0.13043478260869565	0.0023989535575964314	0.031055900621118012	161	161
baseline	prefill	0	7	116	0.009340650910162509	0.015539422256946041	0.14906832298136646	0.006198771346783533	0.043478260869565216	161	161
baseline	prefill	0	8	195	0.008930763066880943	0.013676032915675734	0.14906832298136646	0.004745269848794792	0.055900621118012424	161	161
baseline	prefill	0	9	144	0.007720993183252797	0.009490953391428256	0.043478260869565216	0.001769960208175459	0.012422360248447204	161	161
baseline	prefill	0	10	159	0.006841876048574661	0.012222412639105356	0.12422360248447205	0.005380536590530695	0.043478260869565216	161	161
baseline	prefill	0	11	186	0.005563891330275344	0.006796705318019634	0.049689440993788817	0.0012328139877442901	0.006211180124223602	161	161
baseline	prefill	0	12	234	0.0041120724290394945	0.005124591808951337	0.037267080745341616	0.0010125193799118428	0.006211180124223602	161	161
baseline	prefill	0	13	223	0.002924818093580687	0.006770087111888357	0.055900621118012424	0.00384526901830767	0.031055900621118012	161	161
baseline	prefill	0	14	224	0.0027317350450422303	0.008711089235307319	0.06832298136645963	0.0059793541902650885	0.049689440993788817	161	161
baseline	prefill	0	15	29	0.0026848850700280933	0.009072515059772772	0.08074534161490683	0.006387629989744678	0.055900621118012424	161	161
baseline	prefill	1	1	173	0.06791099096061472	0.09278830676582106	0.16770186335403728	0.02487731580520634	0.049689440993788817	161	161
baseline	prefill	1	2	23	0.012929412704480427	0.019988574178749573	0.16149068322981366	0.007059161474269146	0.062111801242236024	161	161
baseline	prefill	1	3	163	0.007905518323731308	0.009478816076115155	0.16770186335403728	0.0015732977523838473	0.031055900621118012	161	161
baseline	prefill	1	4	17	0.007158686025376768	0.014266832723916286	0.19254658385093168	0.007108146698539519	0.07453416149068323	161	161
baseline	prefill	1	5	202	0.006970654221265528	0.015934157023739876	0.13043478260869565	0.008963502802474347	0.08074534161490683	161	161
baseline	prefill	1	6	80	0.005854514867708541	0.009595908696688405	0.16770186335403728	0.003741393828979864	0.06832298136645963	161	161
baseline	prefill	1	7	24	0.00467790033501906	0.025514513442584708	0.2111801242236025	0.020836613107565648	0.16149068322981366	161	161
baseline	prefill	1	8	21	0.0044771383917347534	0.0044771383917347534	0.10559006211180125	0.0	0.0	161	161
baseline	prefill	1	9	123	0.0037057151099889087	0.009282128973512382	0.16770186335403728	0.005576413863523474	0.062111801242236024	161	161
baseline	prefill	1	10	40	0.0032914941457139572	0.007253349910517151	0.055900621118012424	0.003961855764803194	0.031055900621118012	161	161
baseline	prefill	1	11	198	0.0032118356702520237	0.005131731826477162	0.037267080745341616	0.0019198961562251384	0.012422360248447204	161	161
baseline	prefill	1	12	79	0.0031596211201129704	0.004048034148139373	0.037267080745341616	0.0008884130280264024	0.012422360248447204	161	161
baseline	prefill	1	13	98	0.002771068783773681	0.0035297495470111152	0.018633540372670808	0.0007586807632374338	0.006211180124223602	161	161
baseline	prefill	1	14	234	0.0026752029478927554	0.00747846248660303	0.07453416149068323	0.004803259538710275	0.06832298136645963	161	161
baseline	prefill	1	15	243	0.002647555282299923	0.004412551843847713	0.08074534161490683	0.00176499656154779	0.018633540372670808	161	161
