run	track	layer	group	n_tokens	E173_W	E173_S	E173_Q	E173_dense_top1_wins	E173_dense_top1_share
baseline	prefill	0	A	161	0.012524451342340103	0.09316770186335403	0.13442911107445044	3	0.018633540372670808
baseline	prefill	0	B	161	0.012302303401166318	0.09316770186335403	0.13204472317251847	3	0.018633540372670808
baseline	prefill	0	ALL	322	0.012413377371753213	0.09316770186335403	0.13323691712348448	6	0.018633540372670808
baseline	prefill	1	A	161	0.09278830676582106	0.16770186335403728	0.5532932366406367	25	0.15527950310559005
baseline	prefill	1	B	161	0.02487731580520634	0.049689440993788817	0.5006559805797777	6	0.037267080745341616
baseline	prefill	1	ALL	322	0.0588328112855137	0.10869565217391304	0.541261863826726	31	0.09627329192546584
baseline	prefill	2	A	161	0.0010401854675264844	0.018633540372670808	0.05582328675725466	0	0.0
baseline	prefill	2	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	2	ALL	322	0.0005200927337632422	0.009316770186335404	0.05582328675725466	0	0.0
baseline	prefill	3	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	3	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	3	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	4	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	4	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	4	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	5	A	161	0.001534789524382824	0.024844720496894408	0.06177527835640867	0	0.0
baseline	prefill	5	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	5	ALL	322	0.000767394762191412	0.012422360248447204	0.06177527835640867	0	0.0
baseline	prefill	6	A	161	0.0017819799242792236	0.031055900621118012	0.057379753561791	0	0.0
baseline	prefill	6	B	161	0.002182491710379189	0.037267080745341616	0.05856352756184157	0	0.0
baseline	prefill	6	ALL	322	0.001982235817329206	0.034161490683229816	0.058025448470909485	0	0.0
baseline	prefill	7	A	161	0.0007037227908127102	0.006211180124223602	0.11329936932084635	0	0.0
baseline	prefill	7	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	7	ALL	322	0.0003518613954063551	0.003105590062111801	0.11329936932084635	0	0.0
baseline	prefill	8	A	161	0.0033436707747648564	0.024844720496894408	0.1345827486842855	2	0.012422360248447204
baseline	prefill	8	B	161	0.0028553497756973515	0.024844720496894408	0.1149278284718184	0	0.0
baseline	prefill	8	ALL	322	0.0030995102752311037	0.024844720496894408	0.12475528857805193	2	0.006211180124223602
baseline	prefill	9	A	161	0.0030362740910969206	0.037267080745341616	0.08147335477776736	0	0.0
baseline	prefill	9	B	161	0.004618593793131516	0.049689440993788817	0.09294920008677177	0	0.0
baseline	prefill	9	ALL	322	0.0038274339421142185	0.043478260869565216	0.08803098066862702	0	0.0
baseline	prefill	10	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	10	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	10	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	11	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	11	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	11	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	12	A	161	0.0012187124055818427	0.012422360248447204	0.09810634864933834	0	0.0
baseline	prefill	12	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	12	ALL	322	0.0006093562027909213	0.006211180124223602	0.09810634864933834	0	0.0
baseline	prefill	13	A	161	0.08009423244139569	0.453416149068323	0.1766461838775987	22	0.13664596273291926
baseline	prefill	13	B	161	0.05229365305586452	0.38509316770186336	0.13579480874184172	7	0.043478260869565216
baseline	prefill	13	ALL	322	0.06619394274863014	0.4192546583850932	0.15788481159302892	29	0.09006211180124224
baseline	prefill	14	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	14	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	14	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	15	A	161	0.0005538295730394749	0.006211180124223602	0.08916656125935546	0	0.0
baseline	prefill	15	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	15	ALL	322	0.0002769147865197374	0.003105590062111801	0.08916656125935546	0	0.0
baseline	prefill	16	A	161	0.005450812803026485	0.037267080745341616	0.14626347688121066	1	0.006211180124223602
baseline	prefill	16	B	161	0.006497294022500413	0.043478260869565216	0.1494377625175095	1	0.006211180124223602
baseline	prefill	16	ALL	322	0.005974053412763449	0.040372670807453416	0.14797270760844852	2	0.006211180124223602
baseline	prefill	17	A	161	0.000911857226417761	0.006211180124223602	0.14680901345325953	0	0.0
baseline	prefill	17	B	161	0.010584937622882528	0.062111801242236024	0.1704174957284087	6	0.037267080745341616
baseline	prefill	17	ALL	322	0.005748397424650145	0.034161490683229816	0.1682712700670315	6	0.018633540372670808
baseline	prefill	18	A	161	0.009606659025821819	0.07453416149068323	0.12888934192977605	1	0.006211180124223602
baseline	prefill	18	B	161	0.0016769735768151365	0.012422360248447204	0.1349963729336185	0	0.0
baseline	prefill	18	ALL	322	0.005641816301318478	0.043478260869565216	0.129761774930325	1	0.003105590062111801
baseline	prefill	19	A	161	0.01206276190406194	0.08074534161490683	0.14939266665799786	3	0.018633540372670808
baseline	prefill	19	B	161	0.011484709176988779	0.09316770186335403	0.1232692118330129	1	0.006211180124223602
baseline	prefill	19	ALL	322	0.01177373554052536	0.08695652173913043	0.13539795871604163	4	0.012422360248447204
baseline	prefill	20	A	161	0.011970109143424163	0.13664596273291926	0.08759943509505864	0	0.0
baseline	prefill	20	B	161	0.009801314848943508	0.11801242236024845	0.08305324687788972	0	0.0
baseline	prefill	20	ALL	322	0.010885711996183838	0.12732919254658384	0.08549266494563892	0	0.0
baseline	prefill	21	A	161	0.004644017762549204	0.043478260869565216	0.10681240853863169	0	0.0
baseline	prefill	21	B	161	0.01661126978785249	0.14285714285714285	0.11627888851496743	3	0.018633540372670808
baseline	prefill	21	ALL	322	0.010627643775200847	0.09316770186335403	0.11407004318715576	3	0.009316770186335404
baseline	prefill	22	A	161	0.001708982701205364	0.018633540372670808	0.09171540496468786	0	0.0
baseline	prefill	22	B	161	0.0014623227401210593	0.018633540372670808	0.07847798705316351	0	0.0
baseline	prefill	22	ALL	322	0.0015856527206632115	0.018633540372670808	0.08509669600892568	0	0.0
baseline	prefill	23	A	161	0.0010061129252493775	0.012422360248447204	0.0809920904825749	0	0.0
baseline	prefill	23	B	161	0.0015448815100343068	0.018633540372670808	0.0829086410385078	0	0.0
baseline	prefill	23	ALL	322	0.001275497217641842	0.015527950310559006	0.08214202081613463	0	0.0
baseline	prefill	24	A	161	0.0011425836090307323	0.012422360248447204	0.09197798052697395	0	0.0
baseline	prefill	24	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	24	ALL	322	0.0005712918045153661	0.006211180124223602	0.09197798052697395	0	0.0
baseline	prefill	25	A	161	0.06393032812512808	0.36645962732919257	0.17445394623975627	15	0.09316770186335403
baseline	prefill	25	B	161	0.027029303696035345	0.19254658385093168	0.14037799661489325	6	0.037267080745341616
baseline	prefill	25	ALL	322	0.04547981591058171	0.2795031055900621	0.16271667470230344	21	0.06521739130434782
baseline	prefill	26	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	26	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	26	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	27	A	161	0.0006074667468296156	0.006211180124223602	0.09780214623956812	0	0.0
baseline	prefill	27	B	161	0.0005223135227484406	0.006211180124223602	0.08409247716249894	0	0.0
baseline	prefill	27	ALL	322	0.0005648901347890281	0.006211180124223602	0.09094731170103353	0	0.0
baseline	prefill	28	A	161	0.001163206393812773	0.012422360248447204	0.09363811470192823	0	0.0
baseline	prefill	28	B	161	0.00464909184585723	0.037267080745341616	0.124750631197169	1	0.006211180124223602
baseline	prefill	28	ALL	322	0.002906149119835001	0.024844720496894408	0.1169725020733588	1	0.003105590062111801
baseline	prefill	29	A	161	0.0021999934070188994	0.012422360248447204	0.1770994692650214	0	0.0
baseline	prefill	29	B	161	0.010175932035303377	0.08074534161490683	0.12602500443721876	0	0.0
baseline	prefill	29	ALL	322	0.006187962721161138	0.046583850931677016	0.13283493308092575	0	0.0
baseline	prefill	30	A	161	0.0056056978072614215	0.043478260869565216	0.1289310495670127	1	0.006211180124223602
baseline	prefill	30	B	161	0.0019377504244703881	0.018633540372670808	0.10399260611324417	0	0.0
baseline	prefill	30	ALL	322	0.003771724115865905	0.031055900621118012	0.12144951653088215	1	0.003105590062111801
baseline	prefill	31	A	161	0.005450071875548072	0.062111801242236024	0.08774615719632396	0	0.0
baseline	prefill	31	B	161	0.0034940663277053556	0.037267080745341616	0.09375744646009371	0	0.0
baseline	prefill	31	ALL	322	0.004472069101626715	0.049689440993788817	0.09000039067023766	0	0.0
baseline	prefill	32	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	32	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	32	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	33	A	161	0.0005755285983040169	0.006211180124223602	0.09266010432694671	0	0.0
baseline	prefill	33	B	161	0.0010725221024049931	0.012422360248447204	0.08633802924360195	0	0.0
baseline	prefill	33	ALL	322	0.000824025350354505	0.009316770186335404	0.08844538760471687	0	0.0
baseline	prefill	34	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	34	B	161	0.0010109385793010577	0.012422360248447204	0.08138055563373515	0	0.0
baseline	prefill	34	ALL	322	0.0005054692896505289	0.006211180124223602	0.08138055563373515	0	0.0
baseline	prefill	35	A	161	0.002393212874461218	0.024844720496894408	0.09632681819706403	0	0.0
baseline	prefill	35	B	161	0.0030315417635040152	0.031055900621118012	0.09761564478482929	0	0.0
baseline	prefill	35	ALL	322	0.0027123773189826166	0.027950310559006212	0.09704283296804472	0	0.0
baseline	prefill	36	A	161	0.001279560647181067	0.012422360248447204	0.10300463209807591	0	0.0
baseline	prefill	36	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	36	ALL	322	0.0006397803235905335	0.006211180124223602	0.10300463209807591	0	0.0
baseline	prefill	37	A	161	0.0	0.0	0.0	0	0.0
baseline	prefill	37	B	161	0.0	0.0	0.0	0	0.0
baseline	prefill	37	ALL	322	0.0	0.0	0.0	0	0.0
baseline	prefill	38	A	161	0.03532889116458418	0.3416149068322981	0.1034172995908737	0	0.0
baseline	prefill	38	B	161	0.021597050715309915	0.2236024844720497	0.09658681014346934	0	0.0
baseline	prefill	38	ALL	322	0.028462970939947038	0.2826086956521739	0.10071512794135107	0	0.0
baseline	generation_clean	0	A	514	0.002870747134126691	0.027237354085603113	0.10539743049579423	0	0.0
baseline	generation_clean	0	B	768	0.0021948817983514037	0.0234375	0.09364829006299323	0	0.0
baseline	generation_clean	0	ALL	1282	0.002465860567921215	0.0249609984399376	0.09878853900234368	0	0.0
baseline	generation_clean	1	A	514	0.0057532357991672955	0.042801556420233464	0.13441650912599953	4	0.007782101167315175
baseline	generation_clean	1	B	768	0.004736724247717254	0.037760416666666664	0.12544152490506383	4	0.005208333333333333
baseline	generation_clean	1	ALL	1282	0.005144280361169142	0.039781591263650544	0.12931308672585962	8	0.0062402496099844
baseline	generation_clean	2	A	514	0.0012310742827380066	0.01556420233463035	0.07909652266591692	0	0.0
baseline	generation_clean	2	B	768	0.004339829338389243	0.041666666666666664	0.10415590412134183	2	0.0026041666666666665
baseline	generation_clean	2	ALL	1282	0.0030934174050002137	0.031201248049921998	0.09914402783025685	2	0.0015600624024961
baseline	generation_clean	3	A	514	0.002856029727101524	0.029182879377431907	0.09786661864867889	0	0.0
baseline	generation_clean	3	B	768	0.001890224639660147	0.016927083333333332	0.11166865563530715	0	0.0
baseline	generation_clean	3	ALL	1282	0.0022774507043597323	0.0218408736349454	0.10427470724961345	0	0.0
baseline	generation_clean	4	A	514	0.0013473031025303202	0.017509727626459144	0.07694597718895384	0	0.0
baseline	generation_clean	4	B	768	0.0012854633437650047	0.015625	0.0822696540009603	0	0.0
baseline	generation_clean	4	ALL	1282	0.0013102571316007084	0.01638065522620905	0.0799880782243861	0	0.0
baseline	generation_clean	5	A	514	0.0007743713954567492	0.009727626459143969	0.07960537945295382	0	0.0
baseline	generation_clean	5	B	768	6.784651984685393e-05	0.0013020833333333333	0.05210612724238382	0	0.0
baseline	generation_clean	5	ALL	1282	0.00035111780382773237	0.0046801872074883	0.07502217075119215	0	0.0
baseline	generation_clean	6	A	514	0.0028461901767113575	0.027237354085603113	0.10449583934497413	0	0.0
baseline	generation_clean	6	B	768	0.0024007033519160468	0.029947916666666668	0.08016261627267494	0	0.0
baseline	generation_clean	6	ALL	1282	0.002579315074181874	0.028861154446177848	0.08936978175949088	0	0.0
baseline	generation_clean	7	A	514	0.0	0.0	0.0	0	0.0
baseline	generation_clean	7	B	768	0.0	0.0	0.0	0	0.0
baseline	generation_clean	7	ALL	1282	0.0	0.0	0.0	0	0.0
baseline	generation_clean	8	A	514	0.0031964349656651214	0.027237354085603113	0.11735482659656231	2	0.0038910505836575876
baseline	generation_clean	8	B	768	0.0018857157534010944	0.01953125	0.09654864657413603	1	0.0013020833333333333
